"priceper","year","dateoftransfer","propertytype","duration","price","postcode","lad23cd","transactionid","lmk_key","tfarea","numberrooms","classt","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","CONSTRUCTION_AGE_BAND"
2695.41778975741,1999,1999-12-08,"F","L",100000,"E1 8RB","E09000001","{B7F0F57B-680B-4549-9D9B-8211FD6B3D00}","542167059512010091915295699900475",37.1,1,11,80,85,"England and Wales: 1983-1990"
7750,2005,2005-06-27,"F","L",279000,"EC4A 1EP","E09000001","{0D482956-3D62-4CBA-90AB-DF402828621B}","216135679132009020122431646768407",36,2,12,64,84,"England and Wales: 2003-2006"
12530.7692307692,2015,2015-02-23,"F","L",814500,"EC2Y 5AG","E09000001","{E0873F3D-B09A-4A2F-B0F0-819E2C943049}","1186077838812014080615144294040323",65,NA,12,85,85,"NO DATA!"
3337.85617367707,2005,2005-04-29,"F","L",246000,"E1 8RB","E09000001","{3BB6D632-F31E-428F-89D1-6891AD6076A0}","542301809202010092017332581002608",73.7,2,12,76,81,"England and Wales: 1983-1990"
13265.306122449,2017,2017-08-23,"F","L",650000,"EC2Y 5AG","E09000001","{5CF9903B-7836-7F13-E053-6C04A8C074B1}","1186170889022014080615195076958544",49,NA,11,85,85,"NO DATA!"
13857.1428571429,2015,2015-01-28,"F","L",679000,"EC2Y 5AG","E09000001","{59D3A9D1-3C75-4D3F-92E7-8B735D85CC2A}","1186170889022014080615195076958544",49,NA,11,85,85,"NO DATA!"
4308.48772081,1999,1999-03-05,"F","L",100000,"EC1A 7HN","E09000001","{B69738C6-7D27-4920-8FE4-A6B8C154B7B9}","285107110922009051220552331828481",23.21,1,12,80,84,"England and Wales: 1991-1995"
5385.60965101249,2001,2001-07-24,"F","L",125000,"EC1A 7HN","E09000001","{986FC432-AF4A-4055-9A08-5A7D5719FF01}","285107110922009051220552331828481",23.21,1,12,80,84,"England and Wales: 1991-1995"
3977.27272727273,2000,2000-05-11,"F","L",175000,"EC4V 3PL","E09000001","{60B50A10-CB64-4CE5-96AC-7FEFF625CCF9}","1442582809922016051116075004308586",44,2,11,69,73,"England and Wales: 1996-2002"
4556.81818181818,2001,2001-07-10,"F","L",200500,"EC4V 3PL","E09000001","{1929E56D-F499-4C98-AD66-92EEA940C5FA}","1442582809922016051116075004308586",44,2,11,69,73,"England and Wales: 1996-2002"
3363.63636363636,1999,1999-12-21,"F","L",148000,"EC4V 3PL","E09000001","{8CDA66AF-50EA-4987-97CA-DA2FC6CB6938}","1442582809922016051116075004308586",44,2,11,69,73,"England and Wales: 1996-2002"
15000,2014,2014-12-18,"F","L",570000,"EC2Y 5AG","E09000001","{9E081174-BD46-4AC0-AE9E-90B3602E3855}","1186329548812014080615205294040721",38,NA,12,84,84,"NO DATA!"
5411.76470588235,2011,2011-12-05,"F","L",828000,"EC4R 0DR","E09000001","{785A1AD7-E371-4E03-90A8-C88C9FEDE615}","643732769712011061714385096990982",153,4,12,69,69,"England and Wales: 1991-1995"
